Tanggal,Terakhir,Pembukaan,Tertinggi,Terendah,Vol.,Perubahan%
01/01/2019,1282.62,1283.13,1283.24,1282.62,,-0.02%
01/02/2019,1284.77,1281.62,1288.69,1278.33,,0.17%
01/03/2019,1293.99,1285.12,1295.27,1284.16,,0.72%
01/04/2019,1284.92,1294.06,1298.51,1276.49,,-0.7%
01/07/2019,1288.67,1285.78,1295.14,1282.29,,0.29%
01/08/2019,1285.35,1289.13,1290.69,1279.2,,-0.26%
01/09/2019,1293.13,1285.36,1293.95,1279.63,,0.61%
01/10/2019,1286.38,1293.11,1297.14,1285.81,,-0.52%
01/11/2019,1288,1286.72,1295.65,1286.25,,0.13%
01/14/2019,1291.73,1287.16,1295.9,1287.16,,0.29%
01/15/2019,1289.31,1291.76,1294.7,1286.37,,-0.19%
01/16/2019,1293.52,1289.13,1295.02,1287.59,,0.33%
01/17/2019,1291.9,1293.99,1295.84,1288.96,,-0.13%
01/18/2019,1281.49,1292.18,1292.86,1280.64,,-0.81%
01/21/2019,1280.28,1281.75,1284.29,1277.06,,-0.09%
01/22/2019,1285.04,1279.73,1285.84,1277.25,,0.37%
01/23/2019,1282.39,1285.34,1286.92,1278.38,,-0.21%
01/24/2019,1280.94,1282.74,1285.15,1276.97,,-0.11%
01/25/2019,1303.22,1280.94,1303.69,1279.39,,1.74%
01/28/2019,1303.53,1303.49,1304.49,1297.26,,0.02%
01/29/2019,1311.93,1303.53,1312.05,1302.12,,0.64%
01/30/2019,1319.91,1312.27,1323.74,1308.81,,0.61%
01/31/2019,1320.94,1320.18,1326.68,1317.55,,0.08%
02/01/2019,1318,1320.95,1323.58,1315.66,,-0.22%
02/04/2019,1311.75,1317.55,1318.8,1308.26,,-0.47%
02/05/2019,1315.01,1311.75,1316.86,1310.3,,0.25%
02/06/2019,1306.22,1315.03,1315.88,1305.38,,-0.67%
02/07/2019,1310.09,1305.87,1311.99,1302.17,,0.3%
02/08/2019,1314.07,1310.14,1315.72,1307.23,,0.3%
02/11/2019,1308.33,1314.22,1314.88,1303.58,,-0.44%
02/12/2019,1310.89,1308.55,1315.12,1306.64,,0.2%
02/13/2019,1306.19,1310.88,1318.19,1304.5,,-0.36%
02/14/2019,1312.55,1306.16,1314.43,1302.63,,0.49%
02/15/2019,1321.41,1312.98,1322.98,1311.16,,0.68%
02/18/2019,1326.9,1321.95,1328.39,1321.11,,0.42%
02/19/2019,1341.16,1325.9,1341.87,1322.33,,1.07%
02/20/2019,1338.49,1341.25,1346.81,1336.63,,-0.2%
02/21/2019,1323.49,1338.89,1341.88,1322.24,,-1.12%
02/22/2019,1327.8,1323.52,1333.17,1321.16,,0.33%
02/25/2019,1327.12,1328.57,1332.59,1325.03,,-0.05%
02/26/2019,1328.96,1327.44,1330.59,1323.61,,0.14%
02/27/2019,1319.88,1328.91,1329.63,1316.51,,-0.68%
02/28/2019,1313.05,1320.18,1327.42,1312.54,,-0.52%
03/01/2019,1293.56,1312.81,1315.33,1290.16,,-1.48%
03/04/2019,1286.66,1293.62,1297.11,1282.75,,-0.53%
03/05/2019,1287.43,1286.67,1289.75,1280.95,,0.06%
03/06/2019,1286.76,1287.62,1291.07,1283.45,,-0.05%
03/07/2019,1285.74,1286.71,1289.06,1281.16,,-0.08%
03/08/2019,1298.39,1285.91,1300.99,1285.29,,0.98%
03/11/2019,1294.25,1298.7,1299.27,1290.15,,-0.32%
03/12/2019,1302.01,1293.71,1302.19,1292.06,,0.6%
03/13/2019,1309.28,1302.01,1311.33,1300.56,,0.56%
03/14/2019,1296.28,1309.61,1310.46,1292.75,,-0.99%
03/15/2019,1301.38,1295.74,1306.58,1293.66,,0.39%
03/18/2019,1303.7,1301.64,1306.78,1298.12,,0.18%
03/19/2019,1306.55,1303.45,1311.07,1302.45,,0.22%
03/20/2019,1312.48,1305.61,1316.83,1298.5,,0.45%
03/21/2019,1309.45,1312.64,1320.47,1303.25,,-0.23%
03/22/2019,1313.38,1309.14,1315.08,1306.81,,0.3%
03/25/2019,1321.9,1313.05,1324.43,1310.8,,0.65%
03/26/2019,1315.51,1321.51,1323.24,1312.51,,-0.48%
03/27/2019,1309.87,1315.81,1319.57,1308.07,,-0.43%
03/28/2019,1290.55,1309.85,1312.63,1288.7,,-1.47%
03/29/2019,1292.15,1290.14,1299.82,1286.6,,0.12%
04/01/2019,1287.66,1291.33,1297.04,1286.5,,-0.35%
04/02/2019,1293.15,1287.55,1293.15,1285.16,,0.43%
04/03/2019,1289.9,1292.21,1294.67,1288.2,,-0.25%
04/04/2019,1292.38,1289.95,1294.36,1280.84,,0.19%
04/05/2019,1291.7,1292.46,1293.77,1284.46,,-0.05%
04/08/2019,1297.41,1291.65,1303.86,1291.35,,0.44%
04/09/2019,1304.13,1297.24,1306.34,1296.55,,0.52%
04/10/2019,1308.05,1303.96,1310.75,1300.89,,0.3%
04/11/2019,1292.6,1307.95,1309.36,1289.45,,-1.18%
04/12/2019,1290.4,1292.3,1296.05,1290.11,,-0.17%
04/15/2019,1287.88,1290.45,1292.01,1282.21,,-0.2%
04/16/2019,1276.57,1287.91,1289,1273.1,,-0.88%
04/17/2019,1274.14,1276.86,1280.06,1272.93,,-0.19%
04/18/2019,1275.39,1273.38,1277.95,1271.02,,0.1%
04/22/2019,1274.92,1275.83,1279.96,1273.45,,-0.04%
04/23/2019,1272.4,1275.26,1276.66,1266.15,,-0.2%
04/24/2019,1275.36,1272.31,1278.74,1268.55,,0.23%
04/25/2019,1277.35,1275.6,1282.78,1273.5,,0.16%
04/26/2019,1286.25,1277.42,1288.99,1276.05,,0.7%
04/29/2019,1279.8,1286.4,1286.81,1277.78,,-0.5%
04/30/2019,1283.6,1279.98,1286.39,1279.54,,0.3%
05/01/2019,1276.61,1283.46,1287.21,1272.99,,-0.54%
05/02/2019,1270.54,1276.81,1278.18,1266.1,,-0.48%
05/03/2019,1279.19,1270.61,1282.67,1268.81,,0.68%
05/06/2019,1280.33,1281.06,1285.76,1276.6,,0.09%
05/07/2019,1285.15,1281.55,1286.74,1278.5,,0.38%
05/08/2019,1280.93,1284.16,1291.79,1279.35,,-0.33%
05/09/2019,1284.14,1280.49,1288.52,1279.41,,0.25%
05/10/2019,1286,1284.36,1289.73,1283.21,,0.14%
05/13/2019,1299.9,1286.56,1301.35,1281.6,,1.08%
05/14/2019,1297.03,1300.11,1303.51,1293.33,,-0.22%
05/15/2019,1296.66,1297.17,1301.02,1292.7,,-0.03%
05/16/2019,1286.65,1296.75,1298.92,1283.95,,-0.77%
05/17/2019,1277.55,1286.5,1289.29,1274.91,,-0.71%
05/20/2019,1277.74,1277.8,1279.14,1273.47,,0.01%
05/21/2019,1274.97,1277.95,1278.06,1269.22,,-0.22%
05/22/2019,1273.62,1274.61,1277.42,1272.15,,-0.11%
05/23/2019,1283.45,1273.8,1287.63,1272.58,,0.77%
05/24/2019,1284.89,1283.4,1285.42,1280.45,,0.11%
05/27/2019,1285.2,1285.8,1287.72,1283.8,,0.02%
05/28/2019,1279.49,1285.59,1286.86,1276.07,,-0.44%
05/29/2019,1279.6,1279.71,1285.77,1278.87,,0.01%
05/30/2019,1288.85,1279.71,1289.22,1274.79,,0.72%
05/31/2019,1305.65,1288.35,1307.04,1288.09,,1.3%
06/03/2019,1325.17,1307.55,1328.3,1306.7,,1.5%
06/04/2019,1325.28,1325.05,1329.38,1319.98,,0.01%
06/05/2019,1330.18,1325.5,1344.26,1324.6,,0.37%
06/06/2019,1335.55,1332.36,1340.43,1327.8,,0.4%
06/07/2019,1340.7,1335.6,1348.48,1330.08,,0.39%
06/10/2019,1328.13,1335.96,1337.84,1324.9,,-0.94%
06/11/2019,1326.91,1328.26,1330.06,1319.6,,-0.09%
06/12/2019,1333.55,1326.78,1338.62,1326.18,,0.5%
06/13/2019,1342.35,1334,1343.43,1332.27,,0.66%
06/14/2019,1341.58,1341.55,1358.29,1337.83,,-0.06%
06/17/2019,1339.54,1341.91,1343.38,1332.7,,-0.15%
06/18/2019,1346.48,1340.09,1354.6,1338.65,,0.52%
06/19/2019,1360.27,1346.56,1362.5,1341.15,,1.02%
06/20/2019,1388.18,1360.36,1393.24,1357.8,,2.05%
06/21/2019,1399.05,1388.22,1411.18,1382.4,,0.78%
06/24/2019,1419.55,1401.35,1421.3,1400.48,,1.47%
06/25/2019,1423.25,1419.17,1439.03,1412.3,,0.26%
06/26/2019,1408.75,1423.91,1424.06,1402.38,,-1.02%
06/27/2019,1409.68,1409.56,1412,1400.25,,0.07%
06/28/2019,1409.5,1409.56,1424.64,1406.81,,-0.01%
07/01/2019,1384.31,1392.83,1397.56,1381.76,,-1.79%
07/02/2019,1418.44,1383.4,1419.72,1383.4,,2.47%
07/03/2019,1418.94,1419.95,1436.39,1412.48,,0.04%
07/04/2019,1415.64,1419.8,1422,1410.59,,-0.23%
07/05/2019,1399.95,1415.81,1424.36,1386.92,,-1.11%
07/08/2019,1395.5,1399.95,1407.9,1391.75,,-0.32%
07/09/2019,1397.9,1395.3,1399.9,1386.21,,0.17%
07/10/2019,1419,1397.8,1419.2,1389.75,,1.51%
07/11/2019,1404,1419.4,1426.4,1401.6,,-1.06%
07/12/2019,1415.74,1403.85,1416.88,1403.06,,0.84%
07/15/2019,1414.08,1415.9,1419.75,1407.76,,-0.12%
07/16/2019,1406.33,1414.69,1418.43,1401.18,,-0.55%
07/17/2019,1426.8,1406.41,1427,1399.95,,1.46%
07/18/2019,1446.3,1426.9,1448.3,1414.66,,1.37%
07/19/2019,1425.3,1446.38,1452.98,1420.29,,-1.45%
07/22/2019,1425.12,1425.15,1429.83,1422.35,,-0.01%
07/23/2019,1417.39,1425.15,1429.25,1414.2,,-0.54%
07/24/2019,1425.9,1417.26,1429.3,1416.2,,0.6%
07/25/2019,1414.53,1426.6,1433.86,1411.17,,-0.8%
07/26/2019,1418.69,1414.59,1424.8,1413.77,,0.29%
07/29/2019,1426.94,1419.04,1428.25,1416.86,,0.58%
07/30/2019,1430.85,1426.71,1433.03,1421.91,,0.27%
07/31/2019,1413.8,1430.91,1432.94,1411.35,,-1.19%
08/01/2019,1445.31,1411.21,1445.81,1400.56,,2.23%
08/02/2019,1440.7,1445.66,1448.05,1430.08,,-0.32%
08/05/2019,1463.8,1440.6,1469.8,1436.9,,1.6%
08/06/2019,1474.27,1464.2,1475.21,1456.65,,0.72%
08/07/2019,1501.2,1474.25,1510.4,1472.36,,1.83%
08/08/2019,1500.95,1501.95,1510.35,1490.74,,-0.02%
08/09/2019,1497.24,1501.4,1508.4,1494.62,,-0.25%
08/12/2019,1511.4,1497.51,1517.71,1487.68,,0.95%
08/13/2019,1501.39,1510.61,1534.56,1481.31,,-0.66%
08/14/2019,1516.34,1501.38,1524.1,1494.25,,1%
08/15/2019,1523.2,1516.74,1526.76,1508.25,,0.45%
08/16/2019,1514.15,1524,1527.8,1504.2,,-0.59%
08/19/2019,1495.3,1511,1512.9,1492.4,,-1.24%
08/20/2019,1507.1,1495.55,1508.39,1492.75,,0.79%
08/21/2019,1502.3,1507.7,1508.4,1496.1,,-0.32%
08/22/2019,1498.8,1502.1,1504.6,1491.7,,-0.23%
08/23/2019,1526.85,1499.55,1530.43,1493.45,,1.87%
08/26/2019,1526.35,1539.25,1554.91,1524.55,,-0.03%
08/27/2019,1542.64,1526.25,1544.63,1524.75,,1.07%
08/28/2019,1539.1,1541.69,1547.1,1531.5,,-0.23%
08/29/2019,1527.7,1539.2,1550.7,1519.4,,-0.74%
08/30/2019,1520.25,1527.6,1533.4,1517.51,,-0.49%
09/02/2019,1530.59,1520.05,1533.77,1519.05,,0.68%
09/03/2019,1547,1529.6,1549.8,1521.4,,1.07%
09/04/2019,1552.6,1547.05,1557.25,1533.68,,0.36%
09/05/2019,1519.35,1552.45,1553.25,1509.28,,-2.14%
09/06/2019,1506.95,1519.25,1527.7,1502.75,,-0.82%
09/09/2019,1498.95,1507.1,1515.5,1497.6,,-0.53%
09/10/2019,1486.4,1499.6,1501.9,1484.8,,-0.84%
09/11/2019,1497.6,1486.45,1498.41,1484.9,,0.75%
09/12/2019,1498.95,1497.45,1523.86,1488.65,,0.09%
09/13/2019,1488.7,1498.45,1509.06,1485.51,,-0.68%
09/16/2019,1498.8,1503.59,1512.81,1496.2,,0.68%
09/17/2019,1503.1,1499.45,1507.9,1493.9,,0.29%
09/18/2019,1493.9,1501.4,1511.25,1484.41,,-0.61%
09/19/2019,1499.2,1493.6,1504.2,1488.8,,0.35%
09/20/2019,1517.15,1499.6,1517.21,1498,,1.2%
09/23/2019,1522.12,1516.65,1527.05,1511.35,,0.33%
09/24/2019,1532.3,1522.5,1536.1,1515.95,,0.67%
09/25/2019,1504.15,1531.6,1535.4,1501.41,,-1.84%
09/26/2019,1505.8,1503.89,1512.6,1501.74,,0.11%
09/27/2019,1496.94,1506.18,1507.79,1486.98,,-0.59%
09/30/2019,1472.25,1497.08,1500.5,1464.24,,-1.65%
10/01/2019,1478.98,1472.3,1487.42,1458.9,,0.46%
10/02/2019,1499.51,1479.19,1504.98,1474.25,,1.39%
10/03/2019,1505,1499.55,1518.75,1495.85,,0.37%
10/04/2019,1504.6,1505.19,1510.94,1497.01,,-0.03%
10/07/2019,1493.6,1504.76,1509.47,1489.94,,-0.73%
10/08/2019,1505.51,1493.4,1508.56,1487.49,,0.8%
10/09/2019,1505.7,1506.06,1511.6,1499.7,,0.01%
10/10/2019,1494.3,1505.6,1517.07,1491.4,,-0.76%
10/11/2019,1489.85,1494.46,1503.49,1474.3,,-0.3%
10/14/2019,1492.9,1488.6,1497.1,1482.6,,0.2%
10/15/2019,1481.17,1493.25,1497.99,1477.46,,-0.79%
10/16/2019,1489.77,1481.28,1491.6,1477.05,,0.58%
10/17/2019,1491.89,1490.4,1497.43,1483.35,,0.14%
10/18/2019,1490.1,1492.32,1494.33,1484.8,,-0.12%
10/21/2019,1484.5,1492.02,1495.31,1481.75,,-0.38%
10/22/2019,1488.05,1484.66,1489.17,1480.84,,0.24%
10/23/2019,1492.1,1488.2,1496.24,1487.49,,0.27%
10/24/2019,1503.65,1492.3,1504.21,1488.02,,0.77%
10/25/2019,1504.73,1504.75,1518.1,1500.55,,0.07%
10/28/2019,1492.69,1504.21,1508.36,1489.65,,-0.8%
10/29/2019,1487.6,1492.64,1495,1483.71,,-0.34%
10/30/2019,1495.4,1487.6,1496.8,1481.02,,0.52%
10/31/2019,1513.36,1496.39,1514.39,1493.64,,1.2%
11/01/2019,1513.95,1513.53,1515.81,1503.3,,0.04%
11/04/2019,1509.63,1513.8,1514.93,1504.46,,-0.29%
11/05/2019,1484.1,1509.64,1509.9,1479.35,,-1.69%
11/06/2019,1490.46,1484.1,1494.3,1482.21,,0.43%
11/07/2019,1468.07,1490.29,1492.32,1461,,-1.5%
11/08/2019,1458.66,1468.01,1473.25,1456.05,,-0.64%
11/11/2019,1455.9,1458.96,1466.59,1448.14,,-0.19%
11/12/2019,1457.19,1455.79,1460.32,1445.43,,0.09%
11/13/2019,1463.19,1457.19,1467.14,1455.9,,0.41%
11/14/2019,1471.2,1463.18,1474.48,1460.76,,0.55%
11/15/2019,1467.37,1471.2,1471.43,1462.05,,-0.26%
11/18/2019,1470.85,1467.51,1474.1,1455.97,,0.24%
11/19/2019,1472.38,1470.85,1475.5,1464.3,,0.1%
11/20/2019,1471.25,1472.39,1478.9,1465.66,,-0.08%
11/21/2019,1464.4,1471.4,1475.85,1462.43,,-0.47%
11/22/2019,1462.29,1464.4,1473.15,1461,,-0.14%
11/25/2019,1454.97,1462.14,1462.14,1453.5,,-0.5%
11/26/2019,1461.6,1455.28,1463.06,1450.7,,0.46%
11/27/2019,1454.35,1461.35,1461.82,1452.2,,-0.5%
11/28/2019,1458.34,1456.85,1458.45,1454.19,,0.27%
11/29/2019,1464.8,1456.7,1467.21,1453.38,,0.44%
12/02/2019,1462.44,1466.73,1466.73,1453.7,,-0.16%
12/03/2019,1477.34,1462.5,1481.9,1458.87,,1.02%
12/04/2019,1474.35,1477.21,1484.25,1471.21,,-0.2%
12/05/2019,1475.7,1474.06,1480.5,1472.6,,0.09%
12/06/2019,1459.76,1475.85,1477.15,1458.42,,-1.08%
12/09/2019,1461.99,1459.19,1465.5,1458.55,,0.15%
12/10/2019,1464.21,1462.08,1469.24,1459.55,,0.15%
12/11/2019,1474.85,1464.04,1478.9,1462.14,,0.73%
12/12/2019,1469.43,1474.85,1486.9,1464.45,,-0.37%
12/13/2019,1475.81,1469.62,1478,1462.41,,0.43%
12/16/2019,1476.25,1475.45,1479.86,1472.8,,0.03%
12/17/2019,1476.45,1476.25,1480.61,1474.06,,0.01%
12/18/2019,1475.44,1476.45,1479.39,1470.1,,-0.07%
12/19/2019,1479.15,1475.29,1481.9,1472.6,,0.25%
12/20/2019,1478.2,1479.29,1481.06,1475.5,,-0.06%
12/23/2019,1485.52,1478.2,1486.16,1477.5,,0.5%
12/24/2019,1499.56,1486.07,1501.08,1484.96,,0.95%
12/25/2019,1499.55,1499.55,1499.55,1499.55,,0%
12/26/2019,1511.55,1499.41,1512.55,1497.45,,0.8%
12/27/2019,1510.67,1511.55,1515.34,1506.73,,-0.06%
12/30/2019,1515.22,1511.49,1516.3,1509.96,,0.3%
12/31/2019,1517.39,1515.51,1525.59,1514.79,,0.14%
01/01/2020,1517.3,1517.26,1517.48,1517.2,,-0.01%
01/02/2020,1528.94,1517.13,1531.3,1517.09,,0.77%
01/03/2020,1551.65,1529.11,1553.45,1527.95,,1.49%
01/06/2020,1565.96,1560.59,1582.69,1560.59,,0.92%
01/07/2020,1573.99,1565.93,1577.38,1555.1,,0.51%
01/08/2020,1555.81,1573.99,1611,1551.97,,-1.16%
01/09/2020,1552.37,1555.76,1561.33,1539.88,,-0.22%
01/10/2020,1562.28,1552.26,1563.19,1545.32,,0.64%
01/13/2020,1548.3,1562.29,1562.3,1546.52,,-0.89%
01/14/2020,1546.37,1548.31,1548.8,1535.88,,-0.12%
01/15/2020,1556.19,1546.26,1558.23,1546.01,,0.64%
01/16/2020,1552.79,1556.17,1558.14,1547.85,,-0.22%
01/17/2020,1556.61,1552.9,1561.3,1549.26,,0.25%
01/20/2020,1561.58,1558.56,1562.81,1556.35,,0.32%
01/21/2020,1558.02,1560.85,1568.65,1546.25,,-0.23%
01/22/2020,1558.91,1558.03,1559.35,1549.81,,0.06%
01/23/2020,1563.33,1558.93,1567.94,1551.29,,0.28%
01/24/2020,1570.65,1563.29,1575.76,1556.16,,0.47%
01/27/2020,1581.95,1579.99,1586.72,1575.59,,0.72%
01/28/2020,1566.24,1582.05,1583.17,1565.64,,-0.99%
01/29/2020,1577.12,1566.21,1577.96,1563.1,,0.69%
01/30/2020,1574.22,1576.98,1585.97,1572.49,,-0.18%
01/31/2020,1590.2,1574.27,1590.2,1570.84,,1.02%
02/03/2020,1576.45,1589.85,1591.86,1571.26,,-0.86%
02/04/2020,1552.55,1576.3,1579.54,1548.99,,-1.52%
02/05/2020,1556.7,1552.57,1562.31,1547.2,,0.27%
02/06/2020,1566.85,1556.88,1568.29,1552.24,,0.65%
02/07/2020,1570.29,1566.96,1574.05,1562.38,,0.22%
02/10/2020,1572.3,1569.94,1577.16,1568.01,,0.13%
02/11/2020,1567.72,1572.01,1573.96,1562.18,,-0.29%
02/12/2020,1565.63,1567.73,1570.48,1561.46,,-0.13%
02/13/2020,1576.39,1565.62,1578.11,1565.43,,0.69%
02/14/2020,1584.7,1576.29,1585.04,1573.15,,0.53%
02/17/2020,1581.1,1584.75,1584.86,1578.4,,-0.23%
02/18/2020,1601.91,1583.31,1605.35,1582.96,,1.32%
02/19/2020,1611.64,1601.8,1612.91,1599.49,,0.61%
02/20/2020,1619.7,1611.71,1623.74,1603.89,,0.5%
02/21/2020,1643.7,1619.79,1649.14,1618.99,,1.48%
02/24/2020,1660.72,1658.96,1688.96,1652.3,,1.04%
02/25/2020,1635.38,1660.72,1660.85,1629.01,,-1.53%
02/26/2020,1639.96,1635.46,1655.07,1625.72,,0.28%
02/27/2020,1642.35,1640.56,1660.44,1635.66,,0.15%
02/28/2020,1585.12,1642.14,1649.49,1565.86,,-3.48%
03/02/2020,1590.73,1590.99,1610.78,1579.54,,0.35%
03/03/2020,1639.77,1590.78,1649.5,1587.79,,3.08%
03/04/2020,1635.83,1639.85,1651.68,1631.99,,-0.24%
03/05/2020,1670.61,1635.83,1674.66,1634.92,,2.13%
03/06/2020,1674.23,1670.66,1692.11,1647.98,,0.22%
03/09/2020,1680.2,1694.6,1703.16,1657.96,,0.36%
03/10/2020,1649.36,1678.9,1680.36,1642.11,,-1.84%
03/11/2020,1635.03,1649.69,1670.97,1632.9,,-0.87%
03/12/2020,1577.09,1634.69,1650.13,1560.96,,-3.54%
03/13/2020,1529.7,1576.83,1597.72,1506.73,,-3%
03/16/2020,1514.61,1550.59,1573.49,1451.68,,-0.99%
03/17/2020,1528.58,1512.05,1553.11,1465.6,,0.92%
03/18/2020,1486.3,1527.3,1546.05,1472.6,,-2.77%
03/19/2020,1471,1486.1,1501.61,1464.75,,-1.03%
03/20/2020,1498.24,1470.39,1516.43,1460.49,,1.85%
03/23/2020,1553.81,1508.25,1561.76,1485.4,,3.71%
03/24/2020,1622.03,1565.36,1644.35,1564.77,,4.39%
03/25/2020,1613.79,1618.79,1636.29,1584.18,,-0.51%
03/26/2020,1632.38,1620.16,1645.8,1595.81,,1.15%
03/27/2020,1623.5,1634.99,1640.76,1614.75,,-0.54%
03/30/2020,1623.3,1617.38,1635.59,1607.63,,-0.01%
03/31/2020,1571.31,1612.25,1623.52,1562.25,,-3.2%
04/01/2020,1595.05,1569.45,1604.12,1568.91,,1.51%
04/02/2020,1613.79,1590.75,1621.27,1576.43,,1.17%
